OBJECTID,Join_Count,TARGET_FID,Id,osm_id,name,highway,waterway,aerialway,barrier,man_made,z_order,other_tags,X,Y
14,3,13,0,427738068,????,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",113.746108200333197,30.430804599952353
15,3,14,0,104375115, ,trunk, , , , ,8,""ref""=>""S244"",113.746326900166423,30.429817799951536
16,3,15,0,427738057, ,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",113.746584699824098,30.425341099811931
17,3,16,0,240490640, ,motorway_link, , , , ,9,""oneway""=>""yes"",113.746607100137567,30.430713299878960
18,3,17,0,103405842, ,trunk, , , , ,8, ,113.747575099811115,30.429832199896168
19,3,18,0,427738068,????,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",113.749458799983699,30.430803000058461
20,3,19,0,427738069,????,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",113.750782700061563,30.430717700261710
21,3,20,0,810150839, ,primary, , , , ,7,""ref""=>""S107"",113.761647700181243,30.327689399845951
28,3,27,0,481332221, ,primary, , , , ,7,""ref""=>""X019"",113.773236900062898,30.316110499899708
36,3,35,0,204897665, ,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",113.804052800396448,30.439198499611109
43,4,42,0,624104039, ,secondary, , , , ,6,""ref""=>""X030"",113.817438291743883,30.266821608330588
46,4,45,0,104386690,????,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",113.829744137082344,30.454756583049914
47,4,46,0,104386694,????,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",113.829836193485562,30.454552030451907
49,4,48,0,972817437,????,construction, , , , ,0,""construction""=>""motorway"",113.830865492748330,30.271735637090046
50,3,49,0,446634930, ,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",113.832380800034002,30.450348600107873
53,3,52,0,261739970, ,secondary_link, , , , ,6, ,113.837076799854458,30.267015399641025
63,4,62,0,972817437,????,construction, , , , ,0,""construction""=>""motorway"",113.846490669209061,30.280714535847210
64,3,63,0,104386675, ,motorway_link, , , , ,9,""oneway""=>""yes"",113.847588000385940,30.454787599767940
68,3,67,0,446040793,???,secondary, , , , ,6,"""lanes""=>""2"",""maxspeed""=>""60""",113.848769500012509,30.506697399965105
70,3,69,0,261739962, ,secondary, , , , ,6,""ref""=>""X030"",113.849292599673845,30.264510699609161
75,3,74,0,624104041, ,primary, , , , ,7, ,113.850720900249371,30.255523799583727
79,3,78,0,104386673,????,motorway, , , , ,9,"""lanes""=>""2"",""name:en""=>""Huyu Expressway"",""oneway""=>""yes"",""ref""=>""G50""",113.852836200130582,30.454312600346270
85,3,84,0,361773544, ,primary, , , , ,7, ,113.854653300109817,30.257668500101261
87,3,86,0,361773544, ,primary, , , , ,7, ,113.855699000308732,30.257076399955963
88,3,87,0,446634929, ,trunk, , , , ,8,"""foot""=>""yes"",""ref""=>""G318""",113.855851400321967,30.445332799569087
92,4,91,0,104386661, ,motorway_link, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",113.857099830193079,30.453578828200421
93,4,92,0,104386661, ,motorway_link, , , , ,29,"""bridge""=>""yes"",""layer""=>""1"",""oneway""=>""yes""",113.857199886965304,30.453727831474282
95,3,94,0,103405840, ,primary, , , , ,7, ,113.858358200270800,30.258856199653962
109,4,108,0,103285429, ,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",113.860227967246942,30.254420203729467
110,3,109,0,368482908, ,motorway_link, , , , ,9,""oneway""=>""yes"",113.860240799673193,30.258663599945237
111,4,110,0,624104037, ,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",113.860315762662367,30.254372009960321
112,3,111,0,103405841, ,motorway_link, , , , ,9,""oneway""=>""yes"",113.860439100184408,30.258515899789018
113,3,112,0,103285429, ,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",113.860699200307863,30.255118399594494
117,3,116,0,624104037, ,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",113.862466199955179,30.257507999894358
118,4,117,0,103285429, ,motorway, , , , ,9,"""lanes""=>""2"",""oneway""=>""yes"",""ref""=>""S13""",113.862741119107454,30.258025533651505
